title,year
Pontypool,2009
The Last Patrol,2001
Daybreakers,2009
The Book of Eli,2010
Metal Gear Solid: Philanthropy,2009
Puppet Master: The Legacy,2003
Blood: The Last Vampire,2009
Mega Shark vs Giant Octopus,2009
The Thaw,2009
Space Pirate Captain Harlock: Arcadia of My Youth,1982
Eden Log,2007
Isolation,2005
Teenage Caveman,2002
Generation X,1996
Survival of the Dead,2010
Repo Men,2010
After Last Season,2009
Hot Tub Time Machine,2010
Universal Soldier: Regeneration,2009
Growth,2010
Spiderman: The Ultimate Villain Showdown,2002
It! The Terror from Beyond Space,1958
When Dinosaurs Ruled the Earth,1970
The Moment After,1999
Solomon Kane,2009
Iron Man 2,2010
Virtuality,2009
Cargo,2009
Stingray Sam,2009
Halo Legends,2010
Splice,2009
It Happened Tomorrow,1944
Dream,2008
The Wild Hunt,2009
The Moment After 2: The Awakening,2006
TiMER,2009
Dead Air,2009
The Island of Dr. Moreau,1977
Predators,2010
Inception,2010
Creepshow 3,2007
The Phantom,2009
Dark Island,2010
Mr. Nobody,2009
Dr. Moreau's House of Pain,2004
Invisible Agent,1942
Crossworlds,1996
TEKKEN,2010
Retribution,2006
Golem,1980
Elephants Dream,2006
Resident Evil: Afterlife,2010
Infestation,2009
2012: Supernova,2009
Ricky,2009
Alice in Wonderland,1933
Monsters,2010
Never Let Me Go,2010
Countdown,1968
Kaboom,2010
Morning Patrol,1987
Road Train,2010
Megamind,2010
Trail of the Screaming Forehead,2008
Woman in the Moon,1929
1990: The Bronx Warriors,1982
Ten Minutes Older: The Cello,2002
Tales of an Ancient Empire,2010
The King of Fighters,2009
The Damned,1963
Skyline,2010
Doppelganger,2003
TRON: Legacy,2010
Top of the Food Chain,1999
On the Silver Globe,1988
The Scientist,2010
Malice in Wonderland,2009
Funky Forest: The First Contact,2005
"Je t'aime, je t'aime",1968
Clonehunter,2009
Cowboys & Aliens,2011
Gen 13,2000
Visit to a Small Planet,1960
Message from Space,1978
Five,1951
Limitless,2011
Evangelion: 2.0 You Can (Not) Advance,2009
"Belphegor, Phantom of the Louvre",2001
Virus X,2010
Paul,2011
The Asphyx,1972
The Adjustment Bureau,2011
The Tempest,1998
I Am Number Four,2011
Battle: Los Angeles,2011
Source Code,2011
The Kings of Mykonos,2010
L: Change the World,2008
Happy Here and Now,2002
Dead Space: Downfall,2008
Sex Galaxy,2008
Daffy Duck's Quackbusters,1988
Melancholia,2011
Atlas Shrugged Part I,2011
Dead Kids,1981
Priest,2011
Mothra,1961
Godzilla Raids Again,1955
One Hundred Mornings,2009
Destroy All Monsters,1968
The Speed of Thought,2011
Attack the Block,2011
X-Men: First Class,2011
Super 8,2011
Interkosmos,2006
Green Lantern,2011
"Ghidorah, the Three-Headed Monster",1964
Transformers: Dark of the Moon,2011
Monsturd,2003
Hunter Prey,2009
Mushi-Shi: The Movie,2006
Captain America: The First Avenger,2011
Quarantine 2: Terminal,2011
Children,2006
Without Warning,1994
Almighty Thor,2011
Dylan Dog: Dead of Night,2011
Death Race 2,2010
Rise of the Planet of the Apes,2011
Just Imagine,1930
Gantz,2011
Missile to the Moon,1958
The Little Girl Who Conquered Time,1983
Miranda,1948
Another Earth,2011
Stake Land,2010
Puzzlehead,2005
Backlight,2010
The Creation of the Humanoids,1962
Tooth and Nail,2007
Birdemic: Shock and Terror,2010
Contagion,2011
The Maze,1953
The Avengers,2012
Warrior of the Lost World,1983
Superman and the Mole-Men,1951
Generation P,2011
Blinky™,2011
On the Double,1961
Enthiran,2010
Ticking Clock,2011
Ghost from the Machine,2010
Zaat,1971
Real Steel,2011
Hell,2011
The Thing,2011
"O-Bi, O-Ba: The End of Civilization",1985
In Time,2011
2019: After the Fall of New York,1983
The War of the Robots,1978
Prisoners of the Lost Universe,1983
Unholy,2007
Queen of Blood,1966
Radioactive Dreams,1986
Batman: Year One,2011
Batman and Robin,1949
Three Days,2008
Gantz: Perfect Answer,2011
Xtro,1982
Hanussen,1988
Sharktopus,2010
The Hunger Games,2012
Womb,2010
G.I. Joe: The Revenge of Cobra,1984
The Darkest Hour,2011
The Divide,2011
Apollo 18,2011
Wyvern,2009
The Disappearance of Haruhi Suzumiya,2010
Vlad,2003
The Incredible Petrified World,1957
Collision Earth,2011
Chronicle,2012
King Kong Escapes,1967
Pitfall,1962
Journey 2: The Mysterious Island,2012
Perfect Sense,2011
Monstrosity,1963
The Dead,2010
Retreat,2011
Mega Shark vs. Crocosaurus,2010
Arena,2011
The Satan Bug,1965
Zone Troopers,1985
Dr. Goldfoot and the Girl Bombs,1966
The Earth Dies Screaming,1964
John Carter,2012
Pale Cocoon,2006
Princess of Mars,2009
Cencoroll,2009
Adventures of Captain Marvel,1941
Lockout,2012
"Caltiki, the Immortal Monster",1959
Space Battleship Yamato,2010
Nothing Lasts Forever,1984
The Frankenstein Syndrome,2010
Evolver,1994
Eden of the East Movie I: The King of Eden,2009
Four Sided Triangle,1953
4:44 Last Day on Earth,2011
Iron Sky,2012
Frankenstein,1910
The Gamma People,1956
"Wild, Wild Planet",1965
Mirror Mirror,2012
Battleship,2012
The Atomic Submarine,1959
Icarus XB 1,1963
Beyond the Black Rainbow,2010
Men in Black 3,2012
Sound of My Voice,2011
EVA,2011
Prometheus,2012
Bio Slime,2010
Superman: Doomsday,2007
Safety Not Guaranteed,2012
Dead Space: Aftermath,2010
Iria: Zeiram the Animation,1994
Detention,2011
Seeking a Friend for the End of the World,2012
Blood of the Vampire,1958
Extraterrestrial,2011
The Day the Fish Came Out,1967
2010: Moby Dick,2010
King of Thorn,2009
Goodbye Charlie,1964
Total Recall,2012
The Fantastic Four,1994
Infection,2004
Dragon Ball Z: Wrath of the Dragon,1995
The Door,2009
Decoys 2: Alien Seduction,2007
Steak,2007
The Capture of Bigfoot,1979
Warning from Space,1956
"Captain Video, Master of the Stratosphere",1951
Bells of Innocence,2003
Doomsday Book,2012
Branded,2012
Looper,2012
Robot & Frank,2012
Resident Evil: Retribution,2012
Dredd,2012
The Hamburg Syndrome,1979
2-Headed Shark Attack,2012
My Left Eye Sees Ghosts,2002
Tobor the Great,1954
Genocide,1968
"Goke, Body Snatcher from Hell",1968
A Safe Place,1971
Daleks' Invasion Earth: 2150 A.D.,1966
Atlas Shrugged Part II,2012
Arachnoquake,2012
Thermae Romae,2012
Drones,2010
The X from Outer Space,1967
Cloud Atlas,2012
The Day,2011
The Bay,2012
Vexille,2007
Red Dawn,2012
Storage 24,2012
Journey to Saturn,2008
Halo 4: Forward Unto Dawn,2012
The Lost Missile,1958
The Tempest,1980
Arcade,1993
Ghost Voyage,2008
The Congress,2013
Welcome to the Space Show,2010
Space Adventure Cobra,1982
Memory,2006
Snowmageddon,2011
Kung Fu Cult Master,1993
Antiviral,2012
Ghost Machine,2009
Dororo,2007
Willard,1971
A Carol for Another Christmas,1964
Who Wants To Kill Jessie?,1966
Xtro 2: The Second Encounter,1990
Xtro 3: Watch the Skies,1995
"Glenn, the Flying Robot",2010
Slipstream,1989
The New Barbarians,1983
Transfer,2010
A Time of Roses,1969
Lipton Cockton in the Shadows of Sodoma,1995
All Superheroes Must Die,2011
Extracted,2012
Judas Kiss,2011
I Know What I Saw,2009
Codependent Lesbian Space Alien Seeks Same,2012
Upstream Color,2013
Thale,2012
Battle of Los Angeles,2011
Death Race: Inferno,2013
Stonehenge Apocalypse,2010
Godzilla vs. Gigan,1972
Désiré,1993
Upside Down,2012
Resident Evil: Degeneration,2008
The Rage,2007
The Devil's Tomb,2009
Universal Soldier: Day of Reckoning,2012
Escape from Planet Earth,2013
How to Make a Monster,2001
Starship Troopers: Invasion,2012
Dark Skies,2013
G.I. Joe: Retaliation,2013
Tripping the Rift: The Movie,2008
The Trial of the Incredible Hulk,1989
The Red Spectacles,1987
Stray Dog: Kerberos Panzer Cops,1991
The Snow Creature,1954
Outlaw of Gor,1988
The Host,2013
Riverworld,2010
009 Re: Cyborg,2012
Koi... Mil Gaya,2003
Dinosaurus!,1960
The War of the Gargantuas,1966
Oblivion,2013
Nazis at the Center of the Earth,2012
God's Puzzle,2008
Battle in Outer Space,1959
Konga,1961
The H-Man,1958
The Invincible Iron Man,2007
Before Your Eyes,2009
"Yongary, Monster from the Deep",1967
Iron Man: Rise of Technovore,2013
Hulk vs. Wolverine,2009
Planet Hulk,2010
Grabbers,2012
The Magnetic Monster,1953
Yesterday Was a Lie,2008
Iron Man 3,2013
Zombies of the Stratosphere,1952
"20,000 Leagues Under the Sea",1997
Manborg,2011
Fortress 2,1999
Star Trek Into Darkness,2013
Ivan Vasilyevich Changes His Profession,1973
Captain America,1979
Captain America II: Death Too Soon,1979
Lathe of Heaven,2002
The Twonky,1953
Earth's Final Hours,2011
After Earth,2013
Man of Steel,2013
The Purge,2013
Tetsuo: The Bullet Man,2009
Fullmetal Alchemist: The Sacred Star of Milos,2011
Pacific Rim,2013
World War Z,2013
Elysium,2013
Europa Report,2013
The World's End,2013
The Tempest,1980
Ghoulies IV,1994
Arctic Blast,2010
Brain Dead,1990
The Terror Within,1989
The Surgeon,1995
Justice League: The Flashpoint Paradox,2013
My Avatar and Me,2010
The Blood Beast Terror,1968
Love,2011
The Colony,2013
The Wolverine,2013
Sol,2012
The Death of the Incredible Hulk,1990
Fetching Cody,2005
Bigfoot,2012
The Last Days,2013
And You Thought Your Parents Were Weird!,1991
Arena,1989
The Second Arrival,1998
Class of 1999,1990
The Giant Claw,1957
The Werewolf,1956
Batman: Mystery of the Batwoman,2003
Green Lantern: Emerald Knights,2011
Creature with the Atom Brain,1955
Class of 1999 II - The Substitute,1994
Riddick,2013
Around the World Under the Sea,1966
About Time,2013
Enter Nowhere,2011
Crawlspace,2012
The Ghostmaker,2011
Mutants,2009
Naked Souls,1996
King Cobra,1999
The Secret of the Third Planet,1981
Bad Girl Island,2009
The Incredible Melting Man,1977
Gravity,2013
Deathsport,1978
The History of Future Folk,2012
Tears of Steel,2012
Dragon Day,2013
Repeaters,2010
Karate-Robo Zaborgar,2011
World Without End,1956
Killers from Space,1954
The Monster that Challenged the World,1957
Scanners II: The New Order,1991
Scanners III: The Takeover,1992
Once Upon a Warrior,2011
The Monitors,1969
Jesse James Meets Frankenstein's Daughter,1966
After the Dark,2013
It's Me It's Me,2013
The Wall,2012
Zombie Apocalypse,2011
Bloodsuckers from Outer Space,1984
The Congress,2013
Earth vs. the Spider,1958
Frankenstein Conquers the World,1965
Godzilla vs. Megaguirus,2000
Godzilla vs. Megalon,1973
Rebirth of Mothra,1996
Godzilla vs. SpaceGodzilla,1994
Space Amoeba,1970
Varan the Unbelievable,1962
Alien Space Avenger,1989
Rebirth of Mothra II,1997
Rebirth of Mothra III,1998
The Borrower,1991
Ender's Game,2013
The Last Days on Mars,2013
Godzilla: Tokyo S.O.S.,2003
Errors of the Human Body,2012
Godzilla Against MechaGodzilla,2002
Latitude Zero,1969
The Hunger Games: Catching Fire,2013
Beyond the Time Barrier,1960
The Flight That Disappeared,1961
Krrish 3,2013
Creatures from the Abyss,1994
End of the World,1977
Z.P.G.,1972
The Galaxy Invader,1985
Trigun: Badlands Rumble,2010
Cyberjack,1995
Gamera,1965
Days of Darkness,2007
Evangelion: 3.0 You Can (Not) Redo,2012
Gamera vs. Barugon,1966
Her,2013
RoboGeisha,2009
The Cosmonaut,2013
Urusei Yatsura 2: Beautiful Dreamer,1984
Dead Weekend,1995
Star Trek: Of Gods And Men,2007
The Frozen Dead,1966
Captive Women,1952
The Deadly Spawn,1983
Snowpiercer,2013
Guest from the Future,1984
Phase 7,2011
The Sandlot: Heading Home,2007
Why Did You Pick On Me?,1980
Ice Quake,2010
Snow Beast,2011
Alien Cargo,1999
Timescape,1992
The Human Race,2013
Highlander: The Search for Vengeance,2007
Bounty Killer,2013
Dollman vs. Demonic Toys,1993
Gold,1934
Earth vs. the Spider,2001
Goliath Awaits,1981
The Valley of Gwangi,1969
Voyage to the Prehistoric Planet,1965
The Killings at Outpost Zeta,1980
Expect No Mercy,1995
Sand Sharks,2011
Starz Inside: Fantastic Flesh,2008
+1,2013
Dragon Crusaders,2011
Divergent,2014
The Prize of Peril,1983
Venus Wars,1989
Gamera vs. Viras,1968
Splatter: Naked Blood,1996
Full Eclipse,1993
Space Raiders,1983
From the Earth to the Moon,1958
The Astounding She-Monster,1958
Snakehead Terror,2004
Beyond Loch Ness,2008
Wonder Woman,2009
Android Apocalypse,2006
Warriors of the Year 2072,1984
Tale of the Mummy,1998
Gamera vs. Guiron,1969
RoboCop,2014
The Zero Theorem,2014
Super Inframan,1975
Love Story 2050,2008
Ultraman,1967
Gamera the Brave,2006
Interstellar,2014
Bionicle: Mask of Light,2003
The Monster X Strikes Back: Attack the G8 Summit,2008
Bionicle: The Legend Reborn,2009
First Squad: The Moment of Truth,2009
Threads of Destiny,2014
Captain EO,1986
Toomorrow,1970
Ashura,2005
Queen of Outer Space,1958
The Man from the Future,2011
Under the Skin,2014
Space Pirate Captain Harlock,2013
Captain America: The Winter Soldier,2014
Mass Effect: Paragon Lost,2012
Avengers Confidential: Black Widow & Punisher,2014
The Green Slime,1968
The Machine,2013
Going Postal,2010
Trancers II: The Return of Jack Deth,1991
Terror Beneath the Sea,1966
Trancers 3: Deth Lives,1992
The Strange World of Planet X,1958
Dinoshark,2010
American Cyborg: Steel Warrior,1994
In Your Eyes,2014
Transcendence,2014
RoboCroc,2013
Age of Dinosaurs,2013
Attack from Space,1965
The Gladiators,1969
Tentacles,1977
Atomic Rulers,1965
City Under Siege,2010
Lucy,2014
X-Men: Days of Future Past,2014
Godzilla,2014
The Treasure Hunter,2009
Invaders from Space,1965
Mega Python vs. Gatoroid,2011
Big Ass Spider!,2013
Edge of Tomorrow,2014
Battle of the Damned,2013
The Shape of Things to Come,1979
Frequencies,2013
The Corridor,2012
Nick Fury: Agent of S.H.I.E.L.D.,1998
Transformers: Age of Extinction,2014
Attack of the 50 Ft. Woman,1993
Day of the Animals,1977
Radio Free Albemuth,2010
Dawn of the Planet of the Apes,2014
The Ultimate Warrior,1975
Ra.One,2011
The Beast with a Million Eyes,1958
The Brain,1988
Operation Ganymed,1977
I Origins,2014
Guardians of the Galaxy,2014
The Signal,2014
Valley of the Dragons,1961
The Visitor,1979
Earth to Echo,2014
Invasion of the Star Creatures,1962
Gog,1954
Sharktopus vs Pteracuda,2014
America 3000,1986
Space Milkshake,2012
Jupiter Ascending,2015
Teenage Mutant Ninja Turtles,2014
I'll Follow You Down,2013
The Giver,2014
Appleseed Alpha,2014
Age of Tomorrow,2014
Kummeli V,2014
The Tunnel,1935
Coherence,2013
Angry Video Game Nerd: The Movie,2014
2081,2009
Atlas Shrugged Part III: Who is John Galt?,2014
Camel Spiders,2011
"20,000 Leagues Under the Sea",1997
Aftermath: Population Zero,2008
The Maze Runner,2014
Sharknado 2: The Second One,2014
The Snails,1966
Angel's Egg,1985
51,2011
Space Station 76,2014
Time of Eve: The Movie,2010
The Rat Savior,1976
Automata,2014
Stereo,1969
Crimes of the Future,1970
Predestination,2014
Alien Predators,1985
Young Ones,2014
The Donkey's Hide,1982
The Purple Ball,1987
The Black Sleep,1956
Left Behind,2014
Extraterrestrial,2014
The Whip Hand,1951
Alien Abduction,2014
The Creeping Terror,1964
Darkside Blues,1994
Disaster L.A.: The Last Zombie Apocalypse Begins Here,2014
Time Lapse,2014
Ex Machina,2015
Strange Invaders,2002
9,2005
Animal,2005
Doctor Strange,2007
An American Tail: The Mystery of the Night Monster,1999
Stranded,2013
These Final Hours,2014
Starship Invasions,1977
Chile Can Do It,2008
Electronic Labyrinth THX 1138 4EB,1967
"Ultramarines: A Warhammer 40,000 Movie",2010
Cyborg 3: The Recycler,1995
Cyborg Cop II,1994
Cyborg Cop III,1995
Scarecrow,2013
Twice-Told Tales,1963
Decoder,1984
Elle: A Modern Cinderella Tale,2011
The Inhabited Island 2: Rebellion,2009
Death Racers,2008
Curse of the Fly,1965
The Brides of Fu Manchu,1966
The Hunger Games: Mockingjay - Part 1,2014
Ambition,2014
Patema Inverted,2013
Jetsons: The Movie,1990
Bloody Birthday,1981
Doctor Who: The Time of the Doctor,2013
20th Century Boys - Chapter 1: Beginning of the End,2008
Rakuen Tsuihou - Expelled from Paradise,2014
Iceman,2014
Alien Nation: Dark Horizon,1994
Alien Nation: Body and Soul,1995
Alien Nation: The Enemy Within,1996
Alien Nation: Millennium,1996
Jurassic World,2015
Pumzi,2009
Dr. Jekyll and Mr. Hyde,2008
Endangered Species,2003
Zeta One,1969
State of Emergency,2011
Batman vs Dracula,2005
Wanderers,2014
Shadowzone,1990
Omega Doom,1996
Hard to Be a God,2013
Spontaneous Combustion,1990
The Frame,2014
Ascension,2014
Paradox,2010
An American Hippie in Israel,1972
Deceit,1992
Piranhaconda,2012
Final,2001
Miss Minoes,2001
Island of the Fishmen,1979
Hands of Steel,1986
The Fishmen and Their Queen,1995
"Silent Night, Deadly Night 5: The Toy Maker",1991
Fireball,2009
Fishtales,2007
Everything I Can See From Here,2013
PK,2014
Flesh Wounds,2011
Thunderpants,2002
Island of Terror,1966
Comet,2014
Futuresport,1998
The Invisible Boy,2014
Chappie,2015
Implanted,2013
Terminator Genisys,2015
Super Capers,2009
Frankenstein,2004
Bloodsuckers,2005
Santos,2008
V,1983
Highlander V: The Source,2007
Flu,2013
V: The Final Battle,1984
Shortcut to Happiness,2003
Unearthed,2007
The Anomaly,2014
Highway to Hell,1991
U.F.O.,2012
Someone's Gaze,2013
Time Freak,2011
Planet of Dinosaurs,1977
The Blood of Fu Manchu,1968
Altitude,2010
Python,2000
Battle of the Stars,1978
War of the Planets,1977
Super Stooges vs the Wonder Women,1974
Stuart Little 3: Call of the Wild,2005
Snow Queen,2002
The Bone Snatcher,2003
The Gene Generation,2007
Master of the World,1961
Knights,1993
Sabretooth,2002
The Captains,2011
The Land Before Time VII: The Stone of Cold Fire,2000
Ice Soldiers,2013
TekWar: TekJustice,1994
War of the Colossal Beast,1958
The Six Million Dollar Man,1973
They Came from Beyond Space,1967
Tales That Witness Madness,1973
Supernova,2005
JLA Adventures: Trapped in Time,2014
TekWar: TekLab,1994
TekWar: TekLords,1994
The Underneath,2013
Stranded,2002
Oblivion,1994
Nemesis 4: Death Angel,1996
Nemesis 3: Time Lapse,1996
My Brother the Pig,1999
Monster,2008
Mad Max: Fury Road,2015
Star Wars: The Force Awakens,2015
Avengers: Age of Ultron,2015
Avatar 2,2020
Justice League,2017
Ant-Man,2015
Fantastic Four,2015
Thor: Ragnarok,2017
Guardians of the Galaxy Vol. 2,2017
Captain America: Civil War,2016
Doctor Strange,2016
X-Men: Apocalypse,2016
Scorpio One,1998
Man Made Monster,1941
P.U.N.K.S,1999
Mongolian Death Worm,2010
The Facility,2012
The Land Before Time XI: Invasion of the Tinysauruses,2005
Taken,2002
The Incredible 2-Headed Transplant,1971
Project Shadowchaser II,1994
Orion's Key,1996
Curtain Call,1998
Talking to Heaven,2002
The Land Before Time XII: The Great Day of the Flyers,2006
Invasion,1997
Last Rites,2006
Goldengirl,1979
Mad About Men,1954
Scared To Death,1981
Riverworld,2003
Mark of the Astro-Zombies,2002
Alice in Wonderland,1966
Project Shadowchaser III,1995
Menno's Mind,1997
Vicious Lips,1986
Precious Find,1996
"Invasion, U.S.A.",1952
Solar Attack,2006
Journey to the Center of the Earth,1989
Holocaust 2000,1977
The Day Mars Invaded Earth,1963
The Mysterious Island,1973
Delirium,2014
Moon Zero Two,1969
Chosen Survivors,1974
Justice League: Throne of Atlantis,2015
Project: Shadowchaser,1992
Mars,1968
TekWar,1994
The Beast of Hollow Mountain,1956
Real,2013
Shock Treatment,1973
Mandrake,2010
Space Warriors,2013
Way Way Out,1966
Velocity Trap,1999
Razortooth,2007
The Arrival of Wang,2012
Horror of the Blood Monsters,1970
2012: Ice Age,2011
Doomsday Prophecy,2011
Lightspeed,2006
The Shadow Men,1997
Subliminal Seduction,1996
Virtual Combat,1995
The Terror Within II,1991
Solyaris,1968
The Hyperboloid of Engineer Garin,1965
Cosmic Journey,1936
Age of Ice,2014
Zodiac,2014
The Humanoid,1979
Vanishing Waves,2012
Kenny Begins,2009
The Heart of the World,2000
The Man Who Could Cheat Death,1959
City Zero,1989
The Man Who Changed His Mind,1936
The Man They Could Not Hang,1939
The Land Unknown,1957
Crazy Thunder Road,1980
Project Almanac,2015
The First Men in the Moon,2010
Advantageous,2015
Z for Zachariah,2015
Zenith,2010
Alien Outpost,2014
Vice,2015
Battletruck,1982
The Glitterball,1977
The Questor Tapes,1974
Calculator,2014
The Three Fantastic Supermen,1967
Scourge,2008
Project Viper,2002
Hardwired,2009
When Good Ghouls Go Bad,2001
Cody the Robosapien,2013
Pulse,1987
Murder by Phone,1982
Lunopolis,2009
The Shepherd,1999
12:01 PM,1990
"Honey, We Shrunk Ourselves",1997
Gamera vs. Zigra,1971
JohnnyExpress,2014
The Clowns,1970
France société anonyme,1974
Marvel One-Shot: Item 47,2012
Arabian Adventure,1979
Urban Warriors,1987
The Robot vs. The Aztec Mummy,1958
Ghost in the Shell Arise - Border 1: Ghost Pain,2013
The Impossible Voyage,1904
Mardock Scramble: The Second Combustion,2011
The incredible Paris Incident,1967
Des fleurs pour Algernon,2006
Tribulation,2000
Absolute Aggression,2004
Mega Piranha,2010
Men in White,1998
Transmorphers,2007
The Time Guardian,1987
Patrick,2013
Ruby Red,2013
The Infinite Man,2014
Insurgent,2015
The Amazing Screw-On Head,2006
Home,2015
Midnight Special,2016
Ghosts Can't Do It,1989
The Whisperer in Darkness,2011
Spring,2014
Power Rangers,2015
Trapped in Space,1994
Spiders 2: Breeding Ground,2001
The Last Chase,1981
Stargate SG-1: Children of the Gods - Final Cut,2009
Dinotopia: Quest for the Ruby Sunstone,2005
20 Years After,2008
Parallels,2015
Dead Rising: Watchtower,2015
Deep Space,1988
Patrick,1978
Sabrina the Teenage Witch,1996
The Rig,2010
The Ugly Swans,2006
Can of Worms,1999
The Invisible Kid,1988
Monster High,1989
Nightmare Weekend,1986
The Revenge of the Teenage Vixens from Outer Space,1985
Ghost Chase,1987
Tomorrowland,2015
Say Nothing,2001
The Reconstruction of William Zero,2015
Toxin,2014
Parts Per Billion,2014
Frankenstein 1970,1958
Mutant Hunt,1987
Watchers II,1990
Spiders,2013
Survivor,2014
Patlabor 2: The Movie,1993
Exaella,2011
Threshold,1981
Nuntius,2014
Jersey Shore Shark Attack,2012
Halo: Nightfall,2014
I'm Not Jesus Mommy,2011
Downstream,2010
The Chain Reaction,1980
The Walking Deceased,2015
Target Earth,1954
The Velveteen Rabbit,2009
Captive Wild Woman,1943
The Spy Who Loved Flowers,1966
B/W,2015
100 Degrees Below Zero,2013
Breeders,1997
LFO,2013
Infini,2015
Dark Space,2013
Mutant World,2014
Erotic Games in the Third Galaxy,1981
Three Inches,2011
Anonymous Rex,2004
Anthrax,2001
Monsters: Dark Continent,2014
Eyeborgs,2009
The Lobster,2015
Scintilla,2014
Alien Origin,2012
Brave Story,2006
2047: Sights of Death,2014
Starship Rising,2014
San Andreas Quake,2015
Voyage to the Planet of Prehistoric Women,1968
Lady Frankenstein,1971
The Martian,2015
I Am Omega,2007
The Alien Factor,1978
Kung Fury,2015
Agente Logan - missione Ypotron,1966
The Last Days of the World,2011
Forbidden World,1982
Mars,2010
Flight World War II,2015
Hibernatus,1969
Satellite in the Sky,1956
The Golden Bat,1966
The Colour Out of Space,2010
Technotise: Edit & I,2009
The Hunger Games: Mockingjay - Part 2,2015
Pixels,2015
Allegiant,2016
The Brain from Planet Arous,1957
The Star Wars Holiday Special,1978
Frankenstein,2004
Zenon: The Zequel,2001
Alien vs. Ninja,2010
Ghost in the Shell: Stand Alone Complex - The Laughing Man,2005
Guardian,2001
Self/less,2015
Suicide Squad,2016
Aurora,2016
Independence Day: Resurgence,2016
Star Trek Beyond,2016
Debug,2014
Trava: Fist Planet,2003
Rewind,2013
Mothman,2010
Absolutely Anything,2015
Firestarter 2: Rekindled,2002
Killer Tomatoes Eat France!,1992
Universal Soldier III: Unfinished Business,1999
Pulse 2: Afterlife,2008
Universal Soldier II: Brothers in Arms,1998
Journey to the Center of the Earth,1999
Killer Tomatoes Strike Back!,1991
The Terminators,2009
Android Cop,2014
Smart House,1999
Mega Man,2010
Street Fighter: Round One - FIGHT!,2009
Sharknado 3: Oh Hell No!,2015
Scooby-Doo! and the Cyber Chase,2001
Ghost in the Shell 2.0,2008
Hellboy Animated: Sword of Storms,2006
Robot Chicken: Star Wars,2007
Teen Titans: Trouble in Tokyo,2006
Gingerdead Man 3: Saturday Night Cleaver,2011
The Prodigies,2011
Jurassic City,2014
Dinosaur Island,2014
Battle For SkyArk,2015
The Scopia Effect,2014
Moebius,1996
A Ticket to Space,2006
Random Quest,2006
Robot Overlords,2015
Invitation to Hell,1984
Killdozer,1974
The Price of Life,1987
The Phantom Planet,1961
The Lovers,2015
95ers: Time Runners,2013
R.O.D - Read or Die,2001
Mosquito,1995
Mutator,1989
The Creature Walks Among Us,1956
Astronaut: The Last Push,2012
Cinderella 2000,1977
Dracula vs. Frankenstein,1971
Brain of Blood,1971
The Seed of Man,1969
Dimensions,2011
Embryo,1976
Mammoth,2006
Enigma,2009
Invader,1997
Spectral,2016
The Last Man on Earth,2011
Dark Mountain,2013
After Death,2012
Memory Lane,2011
Tokyo Tribe,2014
Spiders,2000
Creature,1985
Crawl or Die,2014
The Rift,1990
This Is Not a Movie,2011
Ticks,1993
Empty,2011
The Void,2001
World Gone Wild,1987
Plastic Little: The Adventures of Captain Tita,1994
Trucks,1997
Sons of Liberty,2013
Metamorphosis,1990
Timebomb,1991
Road Wars,2015
LA Apocalypse,2014
The Man Who Wasn't There,1983
The Lazarus Papers,2009
Mutants,2008
The 27th Day,1957
Lavalantula,2015
Sharktopus vs. Whalewolf,2015
The Phoenix Project,2015
Firequake,2014
Chrysalis,2007
Robotrix,1991
Ghost in the Shell Arise - Border 2: Ghost Whispers,2013
Ghost in the Shell Arise - Border 3: Ghost Tears,2014
Ghost in the Shell Arise - Border 4: Ghost Stands Alone,2014
The Bees,1978
Women of the Prehistoric Planet,1966
Extinction,2015
P-51 Dragon Fighter,2014
Mobile Suit Gundam II: Soldiers of Sorrow,1981
Mobile Suit Gundam III: Encounters in Space,1982
Doctor Who: The Waters of Mars,2009
Atom Man vs Superman,1950
Superman,1948
The Invisible Boy,1957
Captain America,1944
Sting of the Black Scorpion,2002
Black Scorpion,1995
Black Scorpion II: Aftershock,1997
"Family Guy Presents: Something, Something, Something, Dark Side",2009
Planet Outlaws,1953
Hellboy Animated: Blood and Iron,2007
"Gwen, the Book of Sand",1985
The Electric Hotel,1908
Harbinger Down,2015
The Bunker of the Last Gunshots,1981
Almost Normal,2005
Bermuda Tentacles,2014
Attack on Titan,2015
Air,2015
009-1: The End of the Beginning,2013
Witchville,2010
964 Pinocchio,1991
Butterfly,2015
Ditto,2000
Victor Frankenstein,2015
Ferat Vampire,1982
Guardians,2017
Green Snake,1993
The Premonition,1976
Cyber Wars,2004
Spoiler,1998
Meatball Machine,2005
Deathline,1997
Cyber City Oedo 808,1990
"Hard Revenge, Milly: Bloody Battle",2009
Terminal Justice,1996
Humanity's End,2009
Equals,2015
Star Trek: Renegades,2015
Extinction: The G.M.O. Chronicles,2011
In the Dust of the Stars,1976
Moscow-Cassiopeia,1973
Turbo Kid,2015
2033,2010
Ga-ga: Glory to the Heroes,1986
Area 51,2015
Prototype,1992
Ejecta,2014
"OMG, I'm a Robot!",2015
KillerSaurus,2015
Hot Wheels Acceleracers: Ignition,2005
Snowglobe,2007
A Little Bit Zombie,2012
Parasite Dolls,2003
Listening,2015
Proteus,1995
The Snow Devils,1967
Battle of the Worlds,1961
Assignment: Outer Space,1960
Alien from the Deep,1989
Attack on Titan II: End of the World,2015
Into the Forest,2016
First Spaceship on Venus,1960
